emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
0.05,r,P48,19.02,58587.4222,6421.8,18.962741357745383,4.13414275923215,4.222200000003795,-15.873925237577094,466835557008938.3,2236506.141177448,102994.91402129657,8.120753798615313e-14,3.739745328113278e-15,37.910566229090314,1.7458460933213371,0.005903417457580478,0.0002718624207109124,7.06341055031669e+37,3.2528207677712164e+36,2019-04-14T10:07:58.080000076,2019 04 14
0.03,g,P48,19.18,58587.4658,4814.0,19.099574648487017,4.176833447567841,4.265800000001036,-15.73709194683546,622751262982966.2,1971681.578078175,54479.57531776538,7.159175810001854e-14,1.978153379788061e-15,44.58385777595755,1.2318975156370382,0.009261291602816276,0.0002558989438381882,1.1081090789690282e+38,3.0618185359745345e+36,2019-04-14T11:10:45.119999838,2019 04 14
0.03,r,P48,19.1,58588.43,6421.8,19.042741357745385,5.120924312154314,5.230000000003201,-15.793925237577092,466835557008938.3,2077639.0289807478,57407.28788104433,7.543907314229096e-14,2.0844586229607194e-15,35.217641730619434,0.973099402311952,0.005484076385222123,0.0001515306304014376,6.561670977270964e+37,1.813056693287495e+36,2019-04-15T10:19:12.000000025,2019 04 15
0.04,g,P48,19.39,58588.4794,4814.0,19.30957464848702,5.169294037011104,5.279399999999441,-15.527091946835458,622751262982966.2,1624937.9391632068,59864.926012122654,5.900149657101604e-14,2.1736954635001737e-15,36.74325650748539,1.3536715952350773,0.007632583404130742,0.00028119476427816313,9.132349275703278e+37,3.3644818089998944e+36,2019-04-15T11:30:20.159999700,2019 04 15
0.2,r,P48,18.99,58589.3489,6421.8,18.932741357745382,6.020659943209771,6.14890000000014,-15.903925237577095,466835557008938.3,2299164.763990367,423521.80095211137,8.348267258049023e-14,1.5378076592571163e-14,38.97267995470798,7.179032951819075,0.006068809361037089,0.0011179159973557374,7.261301166084051e+37,1.337581105661233e+37,2019-04-16T08:22:24.959999761,2019 04 16
0.14,g,LT+IOO,19.47,58590.0252,4795.5,19.389165092090455,6.682855184568014,6.825199999999313,-15.447501503232022,625153702429360.8,1510082.2449136397,194717.20051465533,5.483108631281426e-14,7.070181550687135e-15,34.27785661667968,4.419950173259822,0.007147921304698088,0.0009216870343571727,8.55245340842468e+37,1.102794096698828e+37,2019-04-17T00:36:17.279999689,2019 04 17
0.04,r,LT+IOO,19.16,58590.026,6187.6,19.10023852255557,6.683638499951954,6.826000000000931,-15.736428072766905,484505233046738.6,1970476.3606705433,72595.03190683443,7.154799665594743e-14,2.635925608537158e-15,34.665378793817084,1.277119751258162,0.005602394917870754,0.0002063998563672768,6.703238531626311e+37,2.4695643388329666e+36,2019-04-17T00:37:26.399999829,2019 04 17
0.07,i,LT+IOO,19.24,58590.0268,7658.7,19.195798537730354,6.684421815335894,6.8268000000025495,-15.640868057592122,391440398501051.06,1804459.8490483728,116337.82578110194,6.551993711894642e-14,4.2242264541118115e-15,25.64715029560419,1.6535328865562093,0.003348760272057163,0.00021590255350858624,4.006775534018297e+37,2.5832636523690603e+36,2019-04-17T00:38:35.519999969,2019 04 17
0.21,z,LT+IOO,19.28,58590.0277,9669.8,19.250916707031333,6.685303045140156,6.8277000000016415,-15.585749888291144,310029636600550.2,1715141.499824804,331737.77698925167,6.227678785863864e-14,1.2045398682479729e-14,19.307649908463294,3.734430576237936,0.0019966958891045623,0.0003861952239175512,2.38903701291954e+37,4.620807250550027e+36,2019-04-17T00:39:53.279999890,2019 04 17
0.07,g,LT+IOO,19.44,58591.0676,4795.5,19.359165092090457,7.703515127783256,7.867600000005041,-15.47750150323202,625153702429360.8,1552389.15928263,100086.22782731282,5.6367250373552296e-14,3.634130932409728e-15,35.238195266788985,2.2718904075090065,0.007348179598955059,0.00047375464654551277,8.792061492827854e+37,5.66845152442027e+36,2019-04-18T01:37:20.640000184,2019 04 18
