,emag,filter,instrument,mag,mjd,wave,mag0,tmax_rf,tmax_of,mag0_abs,freq,fratio,fratio_unc,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date
29,0.07,z,LT+IOO,19.15,58584.2363,9669.8,19.120916707031327,1.0146871634189325,1.0362999999997555,-15.715749888291144,310029636600550.2,1933303.135583571,124644.65944653456,7.019823685303947e-14,4.525847584503669e-15,21.76353386154717,1.4031468819331503,0.002250670526954764,0.00014510609132899858,2.6929164436720477e+37,1.736187392765783e+36,2019-04-11T05:40:16.319999727,2019 04 11
30,0.02,r,P48,18.69,58584.4009,6421.8,18.632741357745388,1.175854303342267,1.2009000000034575,-16.203925237577092,466835557008938.3,3030889.4431817406,55831.0468030664,1.1005159568192901e-13,2.027225309419341e-15,51.37599796989579,0.9463808565053952,0.008000248835201312,0.00014737002966542018,9.572259192877755e+37,1.763275305903643e+36,2019-04-11T09:37:17.760000047,2019 04 11
31,0.02,g,P48,18.65,58584.4691,4814.0,18.569574648487016,1.2426319396895942,1.2691000000049826,-16.26709194683546,622751262982966.2,3212452.972791602,59175.570616754805,1.1664416744206307e-13,2.148664969094367e-15,72.64030259414137,1.338083823230773,0.015089385665588153,0.0002779567559681705,1.8054377260962966e+38,3.32573919555072e+36,2019-04-11T11:15:30.240000179,2019 04 11
33,0.03,r,P48,18.92,58586.4101,6421.8,18.86274135774539,3.1431508861293223,3.2101000000038766,-15.973925237577093,466835557008938.3,2452280.2193413987,67759.00652279609,8.904229476428619e-14,2.4603295268427254e-15,41.568109273639614,1.1485693050891614,0.006472968524968017,0.00017885472999613214,7.744875658829971e+37,2.1399882286937202e+36,2019-04-13T09:50:32.640000083,2019 04 13
34,0.02,g,P48,19.04,58586.448,4814.0,18.959574648487013,3.1802604523642337,3.2479999999995925,-15.87709194683546,622751262982966.2,2243038.762177133,41318.300934375075,8.144473745465172e-14,1.500267506927159e-15,50.71981311320045,0.9342934847511944,0.010535898029331213,0.00019407841394914716,1.2606151239038371e+38,2.322138873843054e+36,2019-04-13T10:45:07.199999713,2019 04 13
35,0.08,i,P48,18.98,58586.5159,7883.1,18.938091958888148,3.2467443454434735,3.3159000000014203,-15.898574636434331,380297672235541.8,2287862.155815443,168575.91343378753,8.307227487765874e-14,6.120991416780824e-15,31.592192763284697,2.327798787575479,0.004007584930203182,0.0002952897702141897,4.79505606382935e+37,3.533127876046135e+36,2019-04-13T12:22:53.759999871,2019 04 13
41,0.14,g,LT+IOO,19.47,58590.0252,4795.5,19.389165092090455,6.682855184568014,6.825199999999312,-15.447501503232024,625153702429360.8,1510082.2449136397,194717.2005146553,5.4831086312814264e-14,7.070181550687134e-15,34.27785661667968,4.4199501732598225,0.007147921304698088,0.0009216870343571726,8.55245340842468e+37,1.102794096698828e+37,2019-04-17T00:36:17.279999689,2019 04 17
42,0.04,r,LT+IOO,19.16,58590.026,6187.6,19.10023852255557,6.683638499951954,6.826000000000932,-15.736428072766905,484505233046738.6,1970476.3606705437,72595.03190683443,7.154799665594741e-14,2.635925608537158e-15,34.665378793817084,1.277119751258162,0.0056023949178707535,0.0002063998563672768,6.703238531626311e+37,2.4695643388329663e+36,2019-04-17T00:37:26.399999829,2019 04 17
43,0.07,i,LT+IOO,19.24,58590.0268,7658.7,19.195798537730354,6.684421815335893,6.8268000000025495,-15.640868057592122,391440398501051.1,1804459.8490483728,116337.82578110196,6.551993711894643e-14,4.2242264541118115e-15,25.64715029560419,1.6535328865562091,0.003348760272057163,0.00021590255350858624,4.006775534018297e+37,2.5832636523690603e+36,2019-04-17T00:38:35.519999969,2019 04 17
44,0.21,z,LT+IOO,19.28,58590.0277,9669.8,19.25091670703133,6.685303045140157,6.8277000000016415,-15.585749888291144,310029636600550.2,1715141.499824804,331737.7769892517,6.227678785863864e-14,1.2045398682479729e-14,19.307649908463294,3.734430576237936,0.0019966958891045627,0.00038619522391755115,2.3890370129195396e+37,4.620807250550027e+36,2019-04-17T00:39:53.279999890,2019 04 17
