Wavelength (nm),u',Wavelength (nm),g',Wavelength (nm),r',Wavelength (nm),i',Wavelength (nm),z_s,Wavelength (nm),Y,Wavelength (nm),z'
424,0.006390652,424,98.28079224,424,5.44E-05,424,0.004263366,424,0.000188881,424,0.002909694,663.1599731,-0.028884368
425,0.004236091,425,98.17217255,425,6.90E-05,425,0.001303529,425,0.000165452,425,0.005421115,662.9799805,-0.028123913
426,0.000864967,426,98.10164642,426,0.000266432,426,0.000715772,426,0.001470315,426,0.00176433,662.7999878,-0.028843557
427,0.000595332,427,98.33843994,427,0.000135506,427,0.000654914,427,0.000691664,427,0.000664543,662.6199951,-0.028288411
428,0.000785747,428,98.02906036,428,0.000100162,428,0.000564121,428,1.91E-06,428,0.00011419,662.4400024,-0.028717337
429,0.000886675,429,97.88842773,429,6.25E-05,429,0.001364113,429,0.000478689,429,1.73E-05,662.2600098,-0.02854066
430,0.000836126,430,98.05180359,430,0.000141821,430,0.000437486,430,0.000796025,430,6.97E-05,662.0800171,-0.028165793
431,0.001498272,431,97.96869659,431,0.000868447,431,0.000202754,431,0.000290676,431,0.000453787,661.9000244,-0.028596181
432,0.003040048,432,98.39472198,432,0.00028028,432,0.001414965,432,0.001241507,432,0.000841231,661.7200317,-0.028886346
433,0.000986439,433,98.37478638,433,0.000563054,433,0.002108067,433,0.000457514,433,0.000408618,661.539978,-0.028168
434,0.000113084,434,98.25623322,434,0.000588143,434,0.001403841,434,8.45E-05,434,0.000227304,661.3599854,-0.028276853
435,4.40E-05,435,98.2806778,435,7.76E-05,435,0.002322997,435,0.000635561,435,0.000132695,661.1799927,-0.028044244
436,4.94E-05,436,97.94415283,436,0.000115186,436,0.001500318,436,0.001478669,436,0.000412332,661,-0.028584547
437,0.000124296,437,97.66982269,437,0.000600808,437,0.000761201,437,0.000406268,437,0.002991149,660.8200073,-0.028156625
438,0.00052496,438,98.1061554,438,0.001241611,438,0.000100976,438,0.00023991,438,0.000678175,660.6400146,-0.02814861
439,0.001058346,439,98.3267746,439,7.95E-05,439,-1.28E-06,439,8.91E-05,439,2.71E-05,660.460022,-0.028051546
440,0.001053968,440,98.35284424,440,2.04E-05,440,0.000128265,440,5.29E-05,440,6.21E-05,660.2800293,-0.028237462
441,0.001380634,441,98.59081268,441,0.000302945,441,0.000115181,441,0.000199384,441,0.000344964,660.0999756,-0.028101329
442,0.004124173,442,98.31356049,442,0.000574303,442,2.73E-05,442,0.000461254,442,0.001746037,659.9199829,-0.028439829
443,0.007652825,443,98.1969223,443,3.40E-05,443,0.000384788,443,0.000292567,443,0.000454954,659.7399902,-0.027982559
444,0.006090383,444,98.31143951,444,9.01E-05,444,0.001249416,444,0.000145314,444,9.14E-05,659.5599976,-0.028390056
445,0.0067448,445,97.98639679,445,4.82E-05,445,0.000224342,445,8.02E-05,445,8.45E-05,659.3800049,-0.028197391
446,0.005345551,446,97.97993469,446,1.60E-05,446,0.000120871,446,6.36E-05,446,0.000115093,659.2000122,-0.027778922
447,0.002591895,447,98.35010529,447,9.02E-06,447,0.000958472,447,0.001479881,447,0.00055737,659.0200195,-0.027768869
448,0.002545998,448,98.22045898,448,3.62E-05,448,0.00061605,448,0.000845381,448,0.000703111,658.8400269,-0.027603397
449,0.004268236,449,98.28876495,449,2.84E-05,449,0.000237757,449,-5.44E-05,449,0.000349945,658.6599731,-0.027821437
450,0.002508506,450,98.45089722,450,8.04E-06,450,0.001856021,450,-6.88E-05,450,0.000296322,658.4799805,-0.028079977
451,0.000662816,451,98.56038666,451,2.54E-05,451,0.003877048,451,-4.99E-05,451,0.00040062,658.2999878,-0.027976267
452,0.000334235,452,98.52612305,452,1.72E-05,452,0.000605107,452,-9.54E-06,452,0.000341808,658.1199951,-0.02757385
453,0.000222648,453,98.25925446,453,3.87E-05,453,0.000217373,453,0.000661283,453,0.000173648,657.9400024,-0.027620211
454,7.61E-05,454,98.04051208,454,1.99E-05,454,0.000104814,454,0.005397305,454,0.000132488,657.7600098,-0.028026087
455,-2.99E-05,455,98.21846771,455,2.74E-06,455,0.000107851,455,0.00565438,455,0.000118989,657.5800171,-0.027692245
