,Mej,Rcsm,kappa,Mcsm,beta,delta,s,tau,bt,Lpeak,tpeak,max_ind,trise,tfall
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a2.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.01,0.01,0.1,0,7172.791129,71.72791129,8.36E+43,0.211137307,54,0.019918592,0.046139506
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a4.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.2,0.01,0.1,0,143455.8226,1434.558226,8.35E+43,0.387108497,107,0.010155538,0.036245788
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a4.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.02,0.01,0.1,0,14345.58226,143.4558226,8.33E+43,0.241453759,63,0.017120545,0.042636373
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a4.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.02,0.03,0.1,0,14345.58226,430.3674677,4.78E+44,0.1356671,265,0.007083772,0.045202547
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a6.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.3,0.01,0.1,0,215183.7339,2151.837339,8.33E+43,0.418840792,114,0.009580823,0.038005154
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a6.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.03,0.01,0.1,0,21518.37339,215.1837339,8.35E+43,0.26132463,69,0.012771765,0.042227588
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+13_k2.0e-01_a6.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+13,0.2,0.03,0.03,0.1,0,21518.37339,645.5512016,4.51E+44,0.142913362,286,0.007057803,0.042023279
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-01_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.5,0.1,0.1,0,3586.395564,358.6395564,1.29E+46,1.212099771,305,0.08241222,0.51690055
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-01_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.5,0.01,0.1,0,3586.395564,35.86395564,1.12E+44,4.555590707,79,0.772344043,2.149635901
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-01_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.5,0.03,0.1,0,3586.395564,107.5918669,1.43E+45,2.039144183,96,0.1703336,0.804109655
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-01_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.5,0.05,0.1,0,3586.395564,179.3197782,3.75E+45,1.563536897,141,0.101521734,0.605514431
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-02_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.05,0.1,0.1,0,358.6395564,35.86395564,1.56E+46,1.019024792,181,0.087483126,0.44947287
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-02_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.05,0.01,0.1,0,358.6395564,3.586395564,3.97E+43,2.780829246,57,0.900763472,1.757256115
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-02_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.05,0.03,0.1,0,358.6395564,10.75918669,9.29E+44,1.502566584,79,0.255113087,0.686707779
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-02_b5.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.05,0.05,0.1,0,358.6395564,17.93197782,3.55E+45,1.243548675,95,0.1758372,0.506213357
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-03_b1.0e-01_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.005,0.1,0.1,0,35.86395564,3.586395564,5.48E+45,0.888488016,180,0.066197642,0.338379861
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-03_b1.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.005,0.01,0.1,0,35.86395564,0.358639556,1.28E+43,1.77174421,38,0.751572483,0.846129061
/global/cscratch1/sd/dkhatami/csm_param_study/lightcurves/clean/m5.0e+00_r2.0e+14_k2.0e-01_a1.0e-03_b3.0e-02_d1.0e-01_s0.0e+00.lightcurve,5,2E+14,0.2,0.005,0.03,0.1,0,35.86395564,1.075918669,2.87E+44,1.114513453,63,0.204583809,0.42819108
