,jdobs,filter,seeing,gain,zp,ezp,programid,fieldid,ccdid,qid,filterid,moonra,moondec,moonillf,moonphase,airmass,nbad,nbadbkg,bkgstd,bkgmed,diffimgname,psfimgname,Fmcmc,Fmcmc_unc,Fmcmc_low_3sigma,Fmcmc_low_2sigma,Fmcmc_low_1sigma,Fmcmc_high_3sigma,Fmcmc_high_2sigma,Fmcmc_high_1sigma,Fratio,Fratio_unc,jdref_start,jdref_end,fcqfid
630,2458331.7139352,b'r',1.887,6.2,26.253429,3.0362e-06,2.0,722.0,9.0,3.0,2.0,359.733,-5.49069,-0.833582,311.849,1.076,0.0,0.0,5.346136075186729,-0.5382127165794373,ztf_20180801213924_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801213924_000722_zr_c09_o_q3_diffimgpsf.fits',19.771924269689826,18.751048441835568,-36.73544080338173,-17.6326096736778,1.1698679212629977,76.52637284585785,57.46985567848664,38.671964804934134,6.232716001199807e-10,5.910904678224461e-10,2458155.058738426,2458218.9608101854,7220932.0
631,2458331.7386921,b'g',2.102,6.2,26.171008,7.4933e-06,2.0,722.0,9.0,3.0,1.0,0.00927083,-5.39772,-0.831759,311.569,1.138,0.0,0.0,6.232877311134338,0.39940059185028076,ztf_20180801238681_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801238681_000722_zg_c09_o_q3_diffimgpsf.fits',47.63173061397738,26.6030138976811,-32.40311733976739,-5.792761121259604,21.24640857605775,127.96335720106268,101.42936351767239,74.45243637141995,1.6199184846556717e-09,9.047480200320401e-10,2458167.064247685,2458207.0039004628,7220931.0
632,2458331.7396412,b'g',2.314,6.2,26.176679,6.7792e-06,1.0,722.0,9.0,3.0,1.0,0.0195137,-5.39414,-0.831713,311.562,1.14,0.0,0.0,5.933718844985961,-0.18173527717590332,ztf_20180801239618_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801239618_000722_zg_c09_o_q3_diffimgpsf.fits',30.08037369546693,27.47835147542792,-52.82973897174428,-24.998077540649334,2.499027398204259,112.92591246538193,85.14383860169298,57.455730349060104,1.0176809084583922e-09,9.296491451939602e-10,2458167.064247685,2458207.0039004628,7220931.0
633,2458331.7658102,b'g',2.146,6.2,26.157564,8.0865e-06,2.0,722.0,9.0,3.0,1.0,0.291951,-5.29497,-0.829791,311.268,1.236,0.0,0.0,7.64508176460266,0.167599618434906,ztf_20180801265799_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801265799_000722_zg_c09_o_q3_diffimgpsf.fits',-30.223687046854653,34.17423706078662,-132.76154772957346,-98.47493179759202,-64.31850807353405,72.82637042257605,37.960048554653824,4.029966048039206,-1.0406911076279966e-09,1.1767202513964787e-09,2458167.064247685,2458207.0039004628,7220931.0
634,2458331.7853356,b'g',2.014,6.2,26.116203,9.03e-06,2.0,722.0,9.0,3.0,1.0,0.482945,-5.22024,-0.82832,311.044,1.332,0.0,0.0,8.417355195999146,0.13583600521087646,ztf_20180801285336_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801285336_000722_zg_c09_o_q3_diffimgpsf.fits',-26.888113667704076,36.66357293516257,-136.25328736175575,-100.21127095964954,-63.48678790682235,82.96908546731578,46.46180784032097,9.840357963502793,-9.617875155201556e-10,1.3114555807019156e-09,2458167.064247685,2458207.0039004628,7220931.0
635,2458331.8230093,b'i',1.866,6.2,25.60194,2.0009e-06,2.0,722.0,9.0,3.0,3.0,0.82368,-5.0739,-0.82555,310.625,1.609,0.0,0.0,8.135079954528809,-0.14355754852294922,ztf_20180801323009_000722_zi_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180801323009_000722_zi_c09_o_q3_diffimgpsf.fits',-10.55716140706907,31.427975714347262,-104.96770044051857,-73.6630726969258,-42.13040771423074,84.0395046380961,52.15160598707758,20.72554371446378,-6.064167121920502e-10,1.8052626997620963e-09,2458173.988935185,2458340.657975903,7220933.0
636,2458332.6837384,b'g',2.836,6.2,26.203592,6.1714e-06,2.0,722.0,9.0,3.0,1.0,10.8991,-1.31631,-0.756424,300.854,1.032,0.0,0.0,4.548849755096436,-0.14902859926223755,ztf_20180802183727_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180802183727_000722_zg_c09_o_q3_diffimgpsf.fits',-52.857241184899124,23.86398770537878,-126.35814874003505,-101.17088061856907,-76.73769459550309,19.464568390471605,-4.905579565449516,-29.009719184745528,-1.7444868173841806e-09,7.876009233990103e-10,2458167.064247685,2458207.0039004628,7220931.0
637,2458332.6961227,b'g',3.155,6.2,26.203307,7.6481e-06,2.0,722.0,9.0,3.0,1.0,11.0618,-1.26348,-0.755376,300.714,1.049,0.0,0.0,4.109800069451332,-0.2799875736236572,ztf_20180802196100_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180802196100_000722_zg_c09_o_q3_diffimgpsf.fits',-16.695501578577606,25.68258244786794,-97.62179642738754,-68.9026791804983,-42.37140750694346,65.69066721435877,35.87052912108096,8.993757388792416,-5.511587049127718e-10,8.478438826356456e-10,2458167.064247685,2458207.0039004628,7220931.0
638,2458332.7179745,b'g',2.449,6.2,26.182883,5.6177e-06,2.0,722.0,9.0,3.0,1.0,11.3388,-1.17001,-0.753484,300.462,1.09,0.0,0.0,4.318517666125297,-0.12820225954055786,ztf_20180802217940_000722_zg_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180802217940_000722_zg_c09_o_q3_diffimgpsf.fits',-41.84074475213812,20.399298655478766,-103.25873941735726,-82.65621045598265,-62.20949980455691,19.204394986414,-0.9756096223195091,-21.41090249359938,-1.4074928788468758e-09,6.862178903067121e-10,2458167.064247685,2458207.0039004628,7220931.0
639,2458332.7797917,b'r',1.975,6.2,26.215465,3.9192e-06,2.0,722.0,9.0,3.0,2.0,12.0495,-0.903601,-0.748098,299.749,1.317,0.0,0.0,8.040365531921386,-0.9610838890075684,ztf_20180802279780_000722_zr_c09_o_q3_scimrefdiffimg.fits,b'ztf_20180802279780_000722_zr_c09_o_q3_diffimgpsf.fits',27.587721052740637,28.551598572285982,-57.93966272436149,-29.709004041784567,-0.9733199652200142,113.80741164448494,84.87554636596712,56.12987717935195,9.005956108782529e-10,9.320611988484822e-10,2458155.058738426,2458218.9608101854,7220932.0
