mjd,Fratio,Fratio_unc,instrument,wave,Fratio0,Fratio0_abs,Fratio0_unc,freq,fnu,fnu_unc,nufnu,nufnu_unc,flambda,flambda_unc,Llambda,Llambda_unc,datetime64,date,Fratio0_max,Fratio0_min
58646.189942100085,1.6975899619968074e-08,2.3136742812202527e-09,P48+ZTF,4813.966872932173,2.50995947105436e-07,1415079.3158753808,215121.128017638,622755548414061.5,5.1381529959435075e-14,7.811048158320436e-15,31.99813286824152,4.864373579523488,0.0066469366559540844,0.0010104709292610094,7.953027689523307e+37,1.2090235992654639e+37,2019-06-12T04:33:30.997447371,2019 06 12,4.921813877386853e-07,9.140690254607967e-08
58646.22600689996,9.136305625198636e-08,2.6813229293984213e-09,P48+ZTF,6421.811631761602,6.217586109880098e-07,3505386.2822213066,197045.55842868594,466834711434477.7,1.2728057590745565e-13,7.154724226545587e-15,59.41899092497119,3.3400736196926757,0.00925268356223517,0.0005201139197501566,1.1070791310601256e+38,6.223137995115673e+36,2019-06-12T05:25:26.996156573,2019 06 12,1.004233271789773e-06,3.029023289785757e-07
58649.17480320018,1.4785061462922616e-08,2.264795861329002e-09,P48+ZTF,4813.966872932173,2.1860346655992564e-07,1232455.1351327642,206226.78546635644,622755548414061.5,4.475044595667067e-14,7.488094580283402e-15,27.868588513520265,4.663252446920752,0.005789110986662355,0.0009686922594214652,6.926643408495172e+37,1.1590356220567877e+37,2019-06-15T04:11:42.996495366,2019 06 15,4.2866252932265485e-07,7.96103124154611e-08
58649.217557899654,7.87033091513412e-08,2.493780490598222e-09,P48+ZTF,6421.811631761602,5.35604457485888e-07,3019661.464734942,173532.07892480472,466834711434477.7,1.0964390778452575e-13,6.30094978575966e-15,51.18558205113756,2.941502074998245,0.00797058291121139,0.00045804863855705236,9.536764057729176e+37,5.480529895421127e+36,2019-06-15T05:13:17.002530098,2019 06 15,8.650814113720609e-07,2.609305841795742e-07
58652.250196799636,2.1941702553310477e-07,3.635949889678438e-09,P48+ZTF,7883.058236798149,8.929927368799974e-07,5034565.560753881,195371.779091466,380299686992755.6,1.8280507551097342e-13,7.093949298811131e-15,69.52071299751024,2.6978266978803513,0.00881900284244854,0.00034223097392416626,1.0551894418483905e+38,4.0947771172053486e+36,2019-06-18T06:00:17.003488541,2019 06 18,1.2683593869072246e-06,5.275411301331638e-07
58652.27563660033,7.152868223782225e-08,2.839308534789215e-09,P48+ZTF,6421.811631761602,4.867785288544808e-07,2744387.8498359406,170818.62502228995,466834711434477.7,9.964872282754301e-14,6.202424274559348e-15,46.51948276601029,2.895506946408113,0.007243981205541726,0.00045088630941574824,8.667388617048637e+37,5.394832972265938e+36,2019-06-18T06:36:55.002268553,2019 06 18,7.86220224424e-07,2.3714404188546165e-07
58658.17906250013,5.480845183425159e-08,1.3510687599682694e-09,P48+ZTF,6421.811631761602,3.72991319257959e-07,2102871.807174201,113363.47472135056,466834711434477.7,7.635527531849525e-14,4.116227767132239e-15,35.645292919809826,1.9215980018677632,0.005550659994994554,0.00029922989213257867,6.6413379456200925e+37,3.5802712449978694e+36,2019-06-24T04:17:51.000011265,2019 06 24,6.024368400662604e-07,1.8171029286188043e-07
58658.2057523001,1.133754647981741e-08,8.865163068732045e-10,P48+ZTF,4813.966872932173,1.6763048087339152e-07,945076.719085567,97526.03918775485,622755548414061.5,3.431573566999694e-14,3.5411704829073786e-15,21.370314786400915,2.2052835661106718,0.004439231791677104,0.000458101109608891,5.311519454272959e+37,5.481157709028765e+36,2019-06-24T04:56:16.998728514,2019 06 24,3.287089040880458e-07,6.104713325315171e-08
58661.19799769996,4.9033880706357976e-08,1.263037098328736e-09,P48+ZTF,6421.811631761602,3.336932761449087e-07,1881315.050561329,102389.30143657674,466834711434477.7,6.831054948588186e-14,3.717755535162101e-15,31.889735657172267,1.7355773324413317,0.004965847253981883,0.0002702628840524299,5.941612318132192e+37,3.2336823887046373e+36,2019-06-27T04:45:07.001276314,2019 06 27,5.389646151337534e-07,1.6256545341313018e-07
58661.22806710005,9.945970925280106e-09,1.142554268047085e-09,P48+ZTF,4813.966872932173,1.470554402511544e-07,829077.5774914878,110399.18657075125,622755548414061.5,3.0103806838715925e-14,4.008594464383978e-15,18.74731273719551,2.496374444037015,0.003894358484809551,0.0005185690948713323,4.659581167345238e+37,6.204654239857154e+36,2019-06-27T05:28:24.997444153,2019 06 27,2.8836302534770674e-07,5.355418065878799e-08
58677.17422450008,7.694850626637097e-09,1.8695744113455422e-09,P48+ZTF,4813.966872932173,1.1377166242169781e-07,641428.3899097035,161719.47019899366,622755548414061.5,2.3290264837621336e-14,5.87203396292546e-15,14.504141651661607,3.6568417308876398,0.0030129292607340226,0.0007596316774527923,3.6049553467202756e+37,9.088956428085489e+36,2019-07-13T04:10:52.996806800,2019 07 13,2.2309640988954326e-07,4.14330007293587e-08
58677.20400460018,2.7764699548268423e-08,2.135994774484899e-09,P48+ZTF,6421.811631761602,1.889488129427093e-07,1065266.4317408956,96564.19390548753,466834711434477.7,3.867982413651192e-14,3.506245880708252e-15,18.057084539104885,1.6368372839387628,0.002811836530644476,0.00025488715300261045,3.3643488638630324e+37,3.049712507366382e+36,2019-07-13T04:53:45.997455418,2019 07 13,3.0518063002091647e-07,9.205024986648331e-08
58819.53425347502,1.1346956995479549e-08,1.8801338957199837e-09,P48+ZTF,7883.058236798149,4.618032788492125e-08,260358.09559444408,44096.81035887596,380299686992755.6,9.453602451034264e-15,1.6011551841307862e-15,3.595202053082278,0.608918815351766,0.0004560669152867424,7.724398286306327e-05,5.456818671954555e+36,9.242205339939823e+35,2019-12-02T12:49:19.500242025,2019 12 02,6.5592081485389e-08,2.7281321959514705e-08
58830.46905669989,6.517203773132281e-09,6.884281513214604e-10,P48+ZTF,7883.058236798149,2.6523992930967752e-08,149538.48539741777,16644.868453908202,380299686992755.6,5.429742404780239e-15,6.043751735614069e-16,2.064929336989217,0.22984368933159538,0.0002619452089482377,2.9156665145347282e-05,3.1341618067582997e+36,3.4885809394225675e+35,2019-12-13T11:15:26.498870552,2019 12 13,3.767326879924524e-08,1.5669217260752617e-08
58831.471383116594,4.263596832777865e-09,7.553841564337924e-10,P48+ZTF,7883.058236798149,1.7352167615091268e-08,97829.04369927371,17669.114098097463,380299686992755.6,3.5521725767206285e-15,6.415655329019189e-16,1.3508901190711053,0.24398717134794023,0.00017136624879480716,3.095082695304813e-05,2.0503889118516306e+36,3.703251535438379e+35,2019-12-14T11:18:47.501273691,2019 12 14,2.4646095952229623e-08,1.025090321104758e-08
58835.5323148001,6.370787120357215e-09,6.871708056218608e-10,P48+ZTF,7883.058236798149,2.5928100214034136e-08,146178.92733308248,16580.643952787916,380299686992755.6,5.307756851464225e-15,6.020431819257292e-16,2.0185382692454987,0.22895683364247746,0.00025606030154933445,2.9044163669082896e-05,3.063749173215548e+36,3.475120191981242e+35,2019-12-18T12:46:31.998728388,2019 12 18,3.6826894478494215e-08,1.531718985409351e-08
58836.52853010005,6.152780904209457e-09,9.526951588103428e-10,P48+ZTF,7883.058236798149,2.5040849249157362e-08,141176.73306314796,22414.07684837434,380299686992755.6,5.126127177522903e-15,8.138551303644723e-16,1.9494645610970178,0.3095088513350572,0.0002472980032034914,3.9262535178323124e-05,2.95890869560105e+36,4.697743420713647e+35,2019-12-19T12:41:05.000644117,2019 12 19,3.5566690399146625e-08,1.4793040712233547e-08
58838.52398149995,8.987419035242186e-09,2.5419976101702578e-09,P48+ZTF,7883.058236798149,3.6577380001705566e-08,206218.04641165998,58773.782141500174,380299686992755.6,7.487777265207374e-15,2.1340760295578715e-15,2.847599350229836,0.8115884460596012,0.00036123028204171196,0.00010295350125299125,4.3221029236056166e+36,1.2318336830620578e+36,2019-12-21T12:34:32.001595795,2019 12 21,5.19525650743006e-08,2.1608319515372488e-08
58862.513136550086,3.806009366389113e-09,7.784240229967147e-10,P48+ZTF,7883.058236798149,1.5489858694533853e-08,87329.6118811815,18122.059528629565,380299686992755.6,3.1709382074057e-15,6.580119814845395e-16,1.2059068077497574,0.2502417505960533,0.00015297448928140343,3.174424735668243e-05,1.8303323952333626e+36,3.798183904530297e+35,2020-01-14T12:18:54.997927397,2020 01 14,2.2000971414080686e-08,9.150732389904659e-09
